egoid,stress,happy,health,trust,sleep_quality,sedentary,exercise_alone,exercise_others,beer,wine,caffeine,tobacco,wave
28312,1.7,0.0,2.0,3.0,8.0,2.4545455,0.0,0.0,1.0,1.0,1.0,3.0,4
13486,1.0,3.0,0.0,4.0,,2.1818182,1.0,4.0,1.0,1.0,4.0,3.0,4
56805,0.5,3.0,0.0,3.6666667,5.0,1.6363636,1.0,4.0,3.0,3.0,3.0,3.0,4
29718,1.6,2.0,2.0,3.6666667,,2.4545455,1.0,4.0,3.0,3.0,4.0,3.0,4
26800,1.7,2.0,1.0,3.1666667,5.0,1.9090909,2.0,3.0,1.0,1.0,3.0,3.0,4
60493,2.2,0.0,1.0,2.5,,2.3636363,3.0,3.0,3.0,3.0,3.0,3.0,4
47142,1.8,2.0,2.0,3.0,5.0,1.6363636,1.0,3.0,3.0,3.0,4.0,3.0,4
69217,2.2,1.0,2.0,4.0,,2.2727273,1.0,3.0,1.0,1.0,4.0,3.0,4
74845,3.0,2.0,2.0,3.3333333,,2.8181818,4.0,0.0,1.0,4.0,0.0,1.0,4
60396,1.9,0.0,2.0,3.8333333,6.0,2.090909,1.0,4.0,1.0,1.0,3.0,2.0,4
61084,1.1,2.0,0.0,3.6666667,4.0,2.4545455,1.0,4.0,3.0,3.0,3.0,3.0,4
92412,0.60000002,3.0,0.0,3.0,7.0,1.5454545,4.0,4.0,3.0,3.0,3.0,3.0,4
92038,1.4,3.0,0.0,3.5,4.0,1.7272727,4.0,4.0,1.0,1.0,3.0,3.0,4
33388,2.0,0.0,2.0,1.3333334,4.0,2.7272727,1.0,4.0,4.0,4.0,2.0,4.0,4
86440,1.7,0.0,2.0,3.5,4.0,2.1818182,2.0,0.0,3.0,3.0,0.0,3.0,4
29792,1.7,0.0,2.0,3.6666667,9.0,2.6363637,1.0,4.0,4.0,1.0,4.0,3.0,4
14737,1.6,0.0,2.0,2.8333333,7.0,2.4545455,0.0,3.0,3.0,3.0,1.0,3.0,4
28223,0.1,3.0,2.0,3.0,,2.909091,3.0,0.0,1.0,1.0,0.0,2.0,4
28653,0.5,3.0,0.0,4.1666665,5.0,1.7272727,1.0,4.0,2.0,2.0,0.0,3.0,4
95559,1.4,2.0,0.0,3.3333333,5.0,2.7272727,1.0,1.0,4.0,1.0,4.0,3.0,4
30152,1.8,2.0,2.0,3.0,3.0,2.1818182,4.0,3.0,3.0,1.0,4.0,3.0,4
36939,2.0999999,2.0,2.0,3.0,,1.9090909,0.0,1.0,3.0,3.0,3.0,3.0,4
59592,2.0999999,2.0,2.0,3.5,6.0,3.090909,1.0,2.0,2.0,1.0,4.0,3.0,4
22897,1.6,2.0,0.0,3.6666667,,2.4545455,1.0,1.0,1.0,1.0,4.0,0.0,4
89652,2.0,3.0,0.0,4.6666665,5.0,1.8181819,0.0,0.0,3.0,3.0,3.0,3.0,4
28724,2.0,3.0,2.0,3.3333333,5.0,2.7272727,4.0,0.0,3.0,1.0,4.0,3.0,4
69831,1.6,2.0,1.0,3.3333333,4.0,4.181818,3.0,3.0,1.0,1.0,2.0,3.0,4
50072,1.5,0.0,2.0,3.5,,1.7272727,1.0,0.0,2.0,2.0,1.0,3.0,4
44927,2.0,2.0,1.0,3.8333333,4.0,2.7272727,2.0,3.0,3.0,3.0,3.0,3.0,4
71894,3.2,1.0,1.0,2.5,8.0,3.6363637,4.0,1.0,2.0,3.0,3.0,3.0,4
76790,1.3,3.0,2.0,3.3333333,,2.0,1.0,4.0,4.0,4.0,4.0,3.0,4
66676,2.0999999,0.0,2.0,3.5,,2.1818182,1.0,4.0,3.0,3.0,0.0,3.0,4
95930,1.7,2.0,2.0,3.3333333,,1.2727273,4.0,1.0,3.0,3.0,4.0,3.0,4
70962,1.5,2.0,1.0,3.6666667,,2.5454545,2.0,2.0,1.0,1.0,4.0,3.0,4
29647,1.8,2.0,2.0,2.5,,1.3636364,4.0,1.0,1.0,0.0,4.0,3.0,4
30453,2.7,1.0,1.0,2.6666667,11.0,3.1818182,1.0,4.0,3.0,3.0,3.0,3.0,4
18677,1.7,2.0,0.0,2.6666667,,2.0,4.0,1.0,0.0,1.0,0.0,3.0,4
66047,3.5999999,1.0,1.0,2.8333333,11.0,3.6363637,2.0,3.0,3.0,2.0,3.0,3.0,4
58682,1.8,2.0,2.0,3.6666667,,2.7272727,0.0,1.0,3.0,3.0,4.0,3.0,4
79834,0.89999998,2.0,2.0,2.5,5.0,2.090909,2.0,3.0,3.0,4.0,3.0,3.0,4
38052,1.6,3.0,0.0,4.1666665,,1.9090909,0.0,1.0,1.0,1.0,3.0,3.0,4
33133,2.4000001,2.0,0.0,2.8333333,12.0,2.5454545,4.0,3.0,1.0,1.0,3.0,3.0,4
40021,1.8,0.0,2.0,3.3333333,,2.0,4.0,1.0,3.0,3.0,4.0,3.0,4
47810,1.4,2.0,2.0,3.5,5.0,1.8181819,1.0,1.0,3.0,1.0,0.0,3.0,4
58196,1.2,3.0,2.0,3.3333333,4.0,1.3636364,4.0,4.0,1.0,1.0,4.0,3.0,4
76663,2.5999999,0.0,2.0,3.3333333,,1.7272727,0.0,1.0,3.0,3.0,1.0,3.0,4
30137,1.5,0.0,0.0,2.5,,2.1818182,4.0,1.0,2.0,2.0,1.0,3.0,4
68318,1.4,2.0,2.0,3.0,,2.5454545,0.0,0.0,3.0,2.0,4.0,3.0,4
62246,1.1,2.0,2.0,3.1666667,5.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,4
61028,2.0999999,0.0,2.0,3.3333333,,2.0,1.0,4.0,2.0,0.0,3.0,3.0,4
55424,2.7,1.0,2.0,3.3333333,8.0,2.4545455,1.0,4.0,0.0,0.0,0.0,3.0,4
23576,1.3,2.0,2.0,3.6666667,5.0,2.090909,4.0,1.0,3.0,3.0,3.0,3.0,4
57842,2.0999999,2.0,1.0,3.6666667,,2.090909,1.0,1.0,3.0,3.0,4.0,3.0,4
17522,0.80000001,3.0,2.0,3.0,,2.4545455,4.0,3.0,3.0,3.0,3.0,3.0,4
93485,1.2,2.0,2.0,3.3333333,3.0,2.3636363,4.0,2.0,1.0,1.0,4.0,3.0,4
62617,0.89999998,3.0,0.0,4.0,4.0,1.4545455,4.0,1.0,2.0,1.0,1.0,3.0,4
42137,1.9,2.0,0.0,3.6666667,5.0,2.6363637,4.0,0.0,3.0,0.0,4.0,3.0,4
37305,2.4000001,0.0,2.0,3.1666667,6.0,4.0,1.0,2.0,1.0,1.0,2.0,3.0,4
48013,2.7,1.0,2.0,2.1666667,6.0,3.1818182,4.0,4.0,0.0,1.0,4.0,3.0,4
14571,0.40000001,3.0,2.0,2.0,4.0,5.3636365,3.0,2.0,3.0,0.0,0.0,3.0,4
69057,2.4000001,2.0,2.0,2.5,6.0,2.5454545,4.0,1.0,0.0,0.0,4.0,3.0,4
83542,2.0,2.0,0.0,3.0,5.0,2.1818182,1.0,4.0,3.0,3.0,3.0,3.0,4
18222,1.6,1.0,1.0,2.6666667,,4.2727275,1.0,1.0,1.0,0.0,1.0,3.0,4
39738,2.8,1.0,3.0,2.5,7.0,2.5454545,0.0,0.0,3.0,2.0,3.0,3.0,4
26858,2.4000001,0.0,1.0,2.3333333,5.0,3.3636363,1.0,3.0,0.0,0.0,0.0,3.0,4
38826,1.9,2.0,2.0,2.6666667,,2.0,3.0,0.0,1.0,1.0,1.0,3.0,4
93504,2.3,2.0,2.0,3.6666667,,3.1818182,1.0,1.0,3.0,3.0,3.0,3.0,4
64232,1.7,2.0,0.0,3.3333333,8.0,2.2727273,1.0,0.0,1.0,1.0,4.0,3.0,4
37404,1.3,2.0,2.0,3.0,8.0,2.090909,4.0,1.0,0.0,1.0,4.0,3.0,4
25961,1.5,2.0,2.0,3.3333333,5.0,3.4545455,1.0,3.0,0.0,0.0,4.0,3.0,4
87330,2.7,1.0,2.0,,,2.1818182,4.0,3.0,3.0,1.0,4.0,0.0,4
